300
0.69799, -0.03688
0.70470, -0.03622
0.71141, -0.03556
0.71812, -0.03488
0.72483, -0.03421
0.73154, -0.03352
0.73826, -0.03284
0.74497, -0.03214
0.75168, -0.03144
0.75839, -0.03074
0.76510, -0.03003
0.77181, -0.02932
0.77852, -0.02860
0.78523, -0.02787
0.79195, -0.02714
0.79866, -0.02641
0.80537, -0.02567
0.81208, -0.02492
0.81879, -0.02417
0.82550, -0.02342
0.83221, -0.02266
0.83893, -0.02189
0.84564, -0.02112
0.85235, -0.02034
0.85906, -0.01956
0.86577, -0.01877
0.87248, -0.01798
0.87919, -0.01718
0.88591, -0.01638
0.89262, -0.01557
0.89933, -0.01475
0.90604, -0.01393
0.91275, -0.01310
0.91946, -0.01227
0.92617, -0.01143
0.93289, -0.01058
0.93960, -0.00973
0.94631, -0.00887
0.95302, -0.00801
0.95973, -0.00714
0.96644, -0.00626
0.97315, -0.00537
0.97987, -0.00448
0.98658, -0.00358
0.99329, -0.00267
1.00000, -0.00176
